盆地,束缚气存储量（Mt）,溶解气存储量（Mt）,矿物固化存储量（Mt）,有效存储量（Mt）
松辽盆地,2429991.395525018,3703.2299895954447,719316.0,47295.1593827192
渤海湾盆地,2358232.1100734314,4931.824065591747,1106640.0,52047.059012085345
鄂尔多斯盆地,1722107.4496456094,2119.3827716414903,995975.9999999999,40803.04248625876
四川盆地,953678.909963951,923.521030789964,1037474.9999999999,29881.161464921108
塔里木盆地,2390176.2631604737,1001.4272912347564,650704.32,45628.23015677562
准噶尔盆地,847280.0116299595,1133.6856800343917,316499.04,17473.691059649904
珠江口盆地,1069400.8204972816,2563.265258421998,595126.4,25006.35728633555
东海盆地,696492.6397499138,1408.6895373937275,331377.2,15439.177939309613
柴达木盆地,630663.2744593282,683.4306042227105,196244.16000000003,12413.862975953263
华北盆地,1424587.2489008214,2185.924629579283,550276.74,29655.74870295601
南黄海盆地,686305.9451433423,1263.625383194247,315392.4,15044.429557898047
羌塘盆地,642093.4574523254,398.78219863266617,129338.54999999999,11577.46184476437
总计,15851009.526201459,22316.78844033243,6944365.810000001,342265.38186962676
