一级区名,二级区名,三级区名,分区面积/10⁴km²,地下水资源量/10⁸m³
松花江流域地下水资源区,松嫩区,松嫩平原大小兴安岭补给区,18.96,44.10
松花江流域地下水资源区,松嫩区,松嫩平原长白山西北部补给区,7.31,46.24
松花江流域地下水资源区,松嫩区,松嫩平原区,18.21,200.38
松花江流域地下水资源区,松嫩区,合计,44.49,287.21
松花江流域地下水资源区,三江区,三江平原大小兴安岭一张广才岭补给区,24.74,139.92
松花江流域地下水资源区,三江区,三江平原区,4.10,102.92
松花江流域地下水资源区,三江区,合计,28.84,242.84
松花江流域地下水资源区,海拉尔区,海拉尔盆地西部补给区,1.80,4.51
松花江流域地下水资源区,海拉尔区,海拉尔盆地区,3.93,18.74
松花江流域地下水资源区,海拉尔区,海拉尔盆地东部补给区,9.99,23.21
松花江流域地下水资源区,海拉尔区,合计,15.71,45.72
松花江流域地下水资源区,绥芬河—图们江区,绥芬河流域区,1.03,6.77
松花江流域地下水资源区,绥芬河—图们江区,图们江流域区,2.27,14.27
松花江流域地下水资源区,绥芬河—图们江区,合计,3.30,21.04
松花江流域地下水资源区,,总计,92.34,596.81
辽河流域地下水资源区,辽河区,辽河平原大兴安岭南部补给区,8.53,14.92
辽河流域地下水资源区,辽河区,辽河平原区,9.25,120.98
辽河流域地下水资源区,辽河区,辽河平原长白山—千山补给区,3.15,19.65
辽河流域地下水资源区,辽河区,辽河平原辽西山地东部补给区,0.78,1.33
辽河流域地下水资源区,辽河区,合计,21.71,156.88
辽河流域地下水资源区,鸭绿江—沿黄渤海诸河区,沿黄渤海诸河流域西部区,3.55,9.74
辽河流域地下水资源区,鸭绿江—沿黄渤海诸河区,沿黄渤海诸河流域东部区,2.52,12.54
辽河流域地下水资源区,鸭绿江—沿黄渤海诸河区,鸭绿江流域区,3.22,21.34
辽河流域地下水资源区,鸭绿江—沿黄渤海诸河区,合计,9.29,43.62
辽河流域地下水资源区,,总计,30.99,200.50
松辽流域,,,123.33,797.31

