钻孔编号,位置,钻孔深度(m),水位(m),滤水管下入深度(m),抽水实验_降深(m),抽水实验_涌水量(L/s),抽水实验_渗透系数(m/d),换算为8吋口径降深5m流量(L/s)
1,温泉县城北约5kn,90.53,5.10,43.25—60.96,5.1,18.956,21.06,20.09
19,博乐小营乡,80.00,8.42,41.68—78.28,3.75,14.99,8.112,20.95
25,博乐军分区,56.66,4.11,9.4—52.39,2.06,45.424,51.448,103.56
33,新生公社,39.83,6.08,25.25—34.98,1.57,15.96,60.079,60.079
62,精河牛场,95.55,10.20,,5.65,37.479,,36.287
66,精河东北1km,40.01,1.75,21.84—35.35,2.73,15.385,,30.27
108,"农七师工程处木工厂",60.37,4.045,,0.89,8.56,,33
105,"独山子奎屯农场11号孔",64.00,23.50,,0.57,9.4,,72
222,乌鲁木齐燕儿窝,31.50,1.08,4.52—29.14,0.28,24.422,,
152,143团二营八连,90.90,60.54,,1,16,,
